id,name_en,segment_count,a_count,u_count,coronal_count,total_score_en
1,bulbasaur,4,0,0,2,6
2,ivysaur,3,0,0,2,5
3,venusaur,5,0,0,3,8
4,charmander,5,0,0,4,9
5,charmeleon,6,0,0,4,10
6,charizard,5,0,0,4,9
7,squirtle,5,0,0,3,8
8,wartortle,5,0,0,4,9
9,blastoise,5,0,0,4,9
10,caterpie,3,0,0,1,4
11,metapod,4,0,0,2,6
12,butterfree,4,0,0,2,6
13,weedle,3,0,0,2,5
14,kakuna,3,0,0,1,4
15,beedrill,4,0,0,3,7
16,pidgey,3,0,0,2,5
17,pidgeotto,3,0,0,2,5
18,pidgeot,3,0,0,2,5
19,rattata,3,0,0,3,6
20,raticate,4,0,0,3,7
21,spearow,3,0,0,2,5
22,fearow,1,0,0,1,2
23,ekans,3,0,0,2,5
24,arbok,3,0,0,1,4
25,pikachu,3,0,0,1,4
26,raichu,2,0,0,2,4
27,sandshrew,5,0,0,5,10
28,sandslash,6,0,0,6,12
29,nidoran-f,4,0,0,3,7
30,nidorina,3,0,0,3,6
31,nidoqueen,5,0,0,3,8
32,nidoran-m,4,0,0,4,8
33,nidorino,4,0,0,4,8
34,nidoking,4,0,0,2,6
35,clefairy,4,0,0,2,6
36,clefable,5,0,0,2,7
37,vulpix,5,0,0,2,7
38,ninetales,5,0,0,5,10
39,jigglypuff,5,0,0,2,7
40,wigglytuff,5,0,0,2,7
41,zubat,3,0,0,2,5
42,golbat,4,0,0,2,6
43,oddish,2,0,0,2,4
44,gloom,3,0,0,1,4
45,vileplume,5,0,0,2,7
46,paras,3,0,0,2,5
47,parasect,4,0,0,2,6
48,venonat,4,0,0,3,7
49,venomoth,4,0,0,2,6
50,diglett,4,0,0,3,7
51,dugtrio,3,0,0,2,5
52,meowth,3,0,0,1,4
53,persian,3,0,0,2,5
54,psyduck,3,0,0,2,5
55,golduck,5,0,0,3,8
56,mankey,3,0,0,1,4
57,primeape,4,0,0,1,5
58,growlithe,4,0,0,3,7
59,arcanine,4,0,0,3,7
60,poliwag,4,0,0,1,5
61,poliwhirl,5,0,0,3,8
62,poliwrath,5,0,0,3,8
63,abra,2,0,0,1,3
64,kadabra,4,0,0,2,6
65,alakazam,4,0,0,2,6
66,machop,3,0,0,0,3
67,machoke,3,0,0,1,4
68,machamp,3,0,0,0,3
69,bellsprout,6,0,0,4,10
70,weepinbell,5,0,0,2,7
71,victreebel,6,0,0,3,9
72,tentacool,5,0,0,4,9
73,tentacruel,6,0,0,5,11
74,geodude,3,0,0,3,6
75,graveler,4,0,0,2,6
76,golem,3,0,0,1,4
77,ponyta,3,0,0,2,5
78,rapidash,3,0,0,2,5
79,slowpoke,4,0,0,2,6
80,slowbro,4,0,0,3,7
81,magnemite,5,0,0,2,7
82,magneton,5,0,0,3,8
83,farfetchd,5,0,0,3,8
84,doduo,3,0,0,2,5
85,dodrio,3,0,0,3,6
86,seel,2,0,0,2,4
87,dewgong,3,0,0,1,4
88,grimer,3,0,0,1,4
89,muk,2,0,0,0,2
90,shellder,3,0,0,3,6
91,cloyster,4,0,0,3,7
92,gastly,4,0,0,3,7
93,haunter,3,0,0,2,5
94,gengar,3,0,0,1,4
95,onix,3,0,0,2,5
96,drowzee,3,0,0,3,6
97,hypno,3,0,0,1,4
98,krabby,3,0,0,1,4
99,kingler,4,0,0,1,5
100,voltorb,5,0,0,4,9
101,electrode,5,0,0,4,9
102,exeggcute,5,0,0,3,8
103,exeggutor,4,0,0,2,6
104,cubone,4,0,0,1,5
105,marowak,4,0,0,1,5
106,hitmonlee,5,0,0,3,8
107,hitmonchan,6,0,0,4,10
108,lickitung,3,0,0,1,4
109,koffing,3,0,0,0,3
110,weezing,3,0,0,1,4
111,rhyhorn,3,0,0,2,5
112,rhydon,3,0,0,3,6
113,chansey,3,0,0,3,6
114,tangela,4,0,0,2,6
115,kangaskhan,5,0,0,2,7
116,horsea,3,0,0,2,5
117,seadra,3,0,0,3,6
118,goldeen,4,0,0,3,7
119,seaking,3,0,0,1,4
120,staryu,3,0,0,3,6
121,starmie,4,0,0,3,7
122,mr-mime,3,0,0,1,4
123,scyther,3,0,0,2,5
124,jynx,4,0,0,2,6
125,electabuzz,6,0,0,4,10
126,magmar,4,0,0,1,5
127,pinsir,3,0,0,2,5
128,tauros,3,0,0,3,6
129,magikarp,5,0,0,2,7
130,gyarados,4,0,0,4,8
131,lapras,4,0,0,3,7
132,ditto,2,0,0,2,4
133,eevee,1,0,0,0,1
134,vaporeon,3,0,0,1,4
135,jolteon,4,0,0,4,8
136,flareon,4,0,0,3,7
137,porygon,4,0,0,2,6
138,omanyte,3,0,0,2,5
139,omastar,4,0,0,3,7
140,kabuto,3,0,0,1,4
141,kabutops,5,0,0,2,7
142,aerodactyl,5,0,0,3,8
143,snorlax,6,0,0,5,11
144,articuno,4,0,0,3,7
145,zapdos,4,0,0,3,7
146,moltres,5,0,0,4,9
147,dratini,4,0,0,4,8
148,dragonair,5,0,0,4,9
149,dragonite,5,0,0,4,9
150,mewtwo,4,0,0,1,5
151,mew,2,0,0,0,2
152,chikorita,4,0,0,2,6
153,bayleef,3,0,0,1,4
154,meganium,4,0,0,1,5
155,cyndaquil,6,0,0,4,10
156,quilava,4,0,0,1,5
157,typhlosion,5,0,0,4,9
158,totodile,4,0,0,4,8
159,croconaw,4,0,0,2,6
160,feraligatr,4,0,0,2,6
161,sentret,5,0,0,5,10
162,furret,2,0,0,1,3
163,hoothoot,3,0,0,2,5
164,noctowl,4,0,0,3,7
165,ledyba,3,0,0,2,5
166,ledian,3,0,0,3,6
167,spinarak,5,0,0,3,8
168,ariados,3,0,0,3,6
169,crobat,4,0,0,2,6
170,chinchou,3,0,0,2,5
171,lanturn,4,0,0,4,8
172,pichu,2,0,0,1,3
173,cleffa,3,0,0,1,4
174,igglybuff,4,0,0,1,5
175,togepi,3,0,0,2,5
176,togetic,4,0,0,3,7
177,natu,2,0,0,2,4
178,xatu,2,0,0,1,3
179,mareep,3,0,0,1,4
180,flaaffy,3,0,0,1,4
181,ampharos,3,0,0,1,4
182,bellossom,4,0,0,2,6
183,marill,3,0,0,2,5
184,azumarill,3,0,0,2,5
185,sudowoodo,4,0,0,3,7
186,politoed,4,0,0,3,7
187,hoppip,3,0,0,0,3
188,skiploom,5,0,0,2,7
189,jumpluff,5,0,0,2,7
190,aipom,2,0,0,0,2
191,sunkern,4,0,0,2,6
192,sunflora,5,0,0,4,9
193,yanma,3,0,0,1,4
194,wooper,2,0,0,0,2
195,quagsire,4,0,0,2,6
196,espeon,3,0,0,2,5
197,umbreon,4,0,0,2,6
198,murkrow,3,0,0,1,4
199,slowking,4,0,0,2,6
200,misdreavus,6,0,0,4,10
201,unown,2,0,0,2,4
202,wobbuffet,5,0,0,2,7
203,girafarig,5,0,0,3,8
204,pineco,3,0,0,1,4
205,forretress,5,0,0,4,9
206,dunsparce,6,0,0,5,11
207,gligar,3,0,0,1,4
208,steelix,5,0,0,4,9
209,snubbull,4,0,0,3,7
210,granbull,5,0,0,3,8
211,qwilfish,5,0,0,2,7
212,scizor,2,0,0,2,4
213,shuckle,3,0,0,2,5
214,heracross,5,0,0,3,8
215,sneasel,4,0,0,4,8
216,teddiursa,3,0,0,3,6
217,ursaring,2,0,0,1,3
218,slugma,4,0,0,2,6
219,magcargo,4,0,0,1,5
220,swinub,4,0,0,2,6
221,piloswine,5,0,0,3,8
222,corsola,3,0,0,2,5
223,remoraid,4,0,0,3,7
224,octillery,4,0,0,3,7
225,delibird,4,0,0,3,7
226,mantine,4,0,0,3,7
227,skarmory,4,0,0,2,6
228,houndour,3,0,0,2,5
229,houndoom,4,0,0,2,6
230,kingdra,4,0,0,2,6
231,phanpy,3,0,0,1,4
232,donphan,4,0,0,3,7
233,porygon2,5,0,0,3,8
234,stantler,5,0,0,5,10
235,smeargle,5,0,0,3,8
236,tyrogue,3,0,0,2,5
237,hitmontop,7,0,0,3,10
238,smoochum,4,0,0,1,5
239,elekid,3,0,0,2,5
240,magby,3,0,0,0,3
241,miltank,5,0,0,2,7
242,blissey,3,0,0,2,5
243,raikou,2,0,0,1,3
244,entei,2,0,0,2,4
245,suicune,5,0,0,2,7
246,larvitar,4,0,0,3,7
247,pupitar,5,0,0,2,7
248,tyranitar,5,0,0,5,10
249,lugia,2,0,0,2,4
250,ho-oh,2,0,0,0,2
251,celebi,3,0,0,2,5
252,treecko,3,0,0,2,5
253,grovyle,4,0,0,2,6
254,sceptile,4,0,0,3,7
255,torchic,4,0,0,3,7
256,combusken,6,0,0,2,8
257,blaziken,5,0,0,3,8
258,mudkip,4,0,0,1,5
259,marshtomp,5,0,0,3,8
260,swampert,5,0,0,2,7
261,poochyena,3,0,0,2,5
262,mightyena,4,0,0,2,6
263,zigzagoon,5,0,0,3,8
264,linoone,3,0,0,3,6
265,wurmple,4,0,0,1,5
266,silcoon,4,0,0,3,7
267,beautifly,5,0,0,2,7
268,cascoon,4,0,0,2,6
269,dustox,5,0,0,4,9
270,lotad,3,0,0,3,6
271,lombre,4,0,0,2,6
272,ludicolo,4,0,0,3,7
273,seedot,3,0,0,3,6
274,nuzleaf,4,0,0,3,7
275,shiftry,4,0,0,3,7
276,taillow,2,0,0,2,4
277,swellow,3,0,0,2,5
278,wingull,4,0,0,1,5
279,pelipper,4,0,0,2,6
280,ralts,4,0,0,4,8
281,kirlia,2,0,0,1,3
282,gardevoir,4,0,0,2,6
283,surskit,4,0,0,3,7
284,masquerain,6,0,0,3,9
285,shroomish,4,0,0,3,7
286,breloom,4,0,0,2,6
287,slakoth,4,0,0,3,7
288,vigoroth,3,0,0,1,4
289,slaking,4,0,0,2,6
290,nincada,4,0,0,3,7
291,ninjask,5,0,0,4,9
292,shedinja,4,0,0,3,7
293,whismur,4,0,0,2,6
294,loudred,4,0,0,4,8
295,exploud,5,0,0,3,8
296,makuhita,3,0,0,1,4
297,hariyama,3,0,0,1,4
298,azurill,3,0,0,3,6
299,nosepass,4,0,0,3,7
300,skitty,3,0,0,2,5
301,delcatty,4,0,0,3,7
302,sableye,3,0,0,2,5
303,mawile,3,0,0,1,4
304,aron,2,0,0,2,4
305,lairon,3,0,0,3,6
306,aggron,3,0,0,2,5
307,meditite,4,0,0,3,7
308,medicham,4,0,0,1,5
309,electrike,5,0,0,3,8
310,manectric,6,0,0,3,9
311,plusle,4,0,0,3,7
312,minun,3,0,0,2,5
313,volbeat,4,0,0,2,6
314,illumise,3,0,0,2,5
315,roselia,3,0,0,3,6
316,gulpin,4,0,0,2,6
317,swalot,4,0,0,3,7
318,carvanha,5,0,0,2,7
319,sharpedo,4,0,0,3,7
320,wailmer,3,0,0,1,4
321,wailord,3,0,0,2,5
322,numel,3,0,0,2,5
323,camerupt,4,0,0,1,5
324,torkoal,4,0,0,3,7
325,spoink,4,0,0,1,5
326,grumpig,5,0,0,1,6
327,spinda,4,0,0,3,7
328,trapinch,5,0,0,4,9
329,vibrava,4,0,0,1,5
330,flygon,4,0,0,2,6
331,cacnea,3,0,0,1,4
332,cacturne,4,0,0,2,6
333,swablu,4,0,0,2,6
334,altaria,3,0,0,3,6
335,zangoose,4,0,0,2,6
336,seviper,3,0,0,1,4
337,lunatone,4,0,0,4,8
338,solrock,4,0,0,3,7
339,barboach,4,0,0,1,5
340,whiscash,4,0,0,2,6
341,corphish,4,0,0,2,6
342,crawdaunt,5,0,0,4,9
343,baltoy,3,0,0,2,5
344,claydol,4,0,0,3,7
345,lileep,3,0,0,2,5
346,cradily,4,0,0,3,7
347,anorith,2,0,0,2,4
348,armaldo,4,0,0,3,7
349,feebas,3,0,0,1,4
350,milotic,4,0,0,2,6
351,castform,6,0,0,3,9
352,kecleon,4,0,0,2,6
353,shuppet,3,0,0,2,5
354,banette,3,0,0,2,5
355,duskull,4,0,0,3,7
356,dusclops,6,0,0,4,10
357,tropius,4,0,0,3,7
358,chimecho,3,0,0,1,4
359,absol,3,0,0,2,5
360,wynaut,3,0,0,2,5
361,snorunt,5,0,0,5,10
362,glalie,2,0,0,1,3
363,spheal,3,0,0,2,5
364,sealeo,2,0,0,2,4
365,walrein,4,0,0,3,7
366,clamperl,5,0,0,2,7
367,huntail,4,0,0,3,7
368,gorebyss,5,0,0,3,8
369,relicanth,5,0,0,4,9
370,luvdisc,5,0,0,3,8
371,bagon,3,0,0,1,4
372,shelgon,4,0,0,3,7
373,salamence,5,0,0,4,9
374,beldum,4,0,0,2,6
375,metang,3,0,0,1,4
376,metagross,5,0,0,3,8
377,regirock,3,0,0,2,5
378,regice,3,0,0,3,6
379,registeel,5,0,0,5,10
380,latias,3,0,0,3,6
381,latios,3,0,0,3,6
382,kyogre,3,0,0,1,4
383,groudon,4,0,0,3,7
384,rayquaza,4,0,0,2,6
385,jirachi,2,0,0,2,4
386,deoxys-normal,8,0,0,6,14
387,turtwig,4,0,0,3,7
388,grotle,4,0,0,3,7
389,torterra,4,0,0,4,8
390,chimchar,4,0,0,2,6
391,monferno,4,0,0,2,6
392,infernape,4,0,0,2,6
393,piplup,4,0,0,1,5
394,prinplup,6,0,0,3,9
395,empoleon,4,0,0,2,6
396,starly,4,0,0,4,8
397,staravia,4,0,0,3,7
398,staraptor,5,0,0,4,9
399,bidoof,3,0,0,1,4
400,bibarel,4,0,0,2,6
401,kricketot,5,0,0,2,7
402,kricketune,5,0,0,3,8
403,shinx,4,0,0,2,6
404,luxio,3,0,0,2,5
405,luxray,4,0,0,3,7
406,budew,3,0,0,1,4
407,roserade,3,0,0,3,6
408,cranidos,5,0,0,4,9
409,rampardos,6,0,0,4,10
410,shieldon,4,0,0,4,8
411,bastiodon,6,0,0,4,10
412,burmy,2,0,0,0,2
413,wormadam-plant,7,0,0,3,10
414,mothim,3,0,0,1,4
415,combee,3,0,0,0,3
416,vespiquen,5,0,0,2,7
417,pachirisu,4,0,0,3,7
418,buizel,3,0,0,2,5
419,floatzel,5,0,0,4,9
420,cherubi,3,0,0,2,5
421,cherrim,3,0,0,2,5
422,shellos,3,0,0,3,6
423,gastrodon,6,0,0,5,11
424,ambipom,4,0,0,0,4
425,drifloon,5,0,0,4,9
426,drifblim,6,0,0,3,9
427,buneary,3,0,0,1,4
428,lopunny,3,0,0,2,5
429,mismagius,5,0,0,4,9
430,honchkrow,5,0,0,2,7
431,glameow,3,0,0,1,4
432,purugly,4,0,0,2,6
433,chingling,4,0,0,3,7
434,stunky,4,0,0,2,6
435,skuntank,6,0,0,3,9
436,bronzor,4,0,0,3,7
437,bronzong,5,0,0,3,8
438,bonsly,4,0,0,3,7
439,mime-jr,3,0,0,1,4
440,happiny,3,0,0,1,4
441,chatot,3,0,0,3,6
442,spiritomb,5,0,0,3,8
443,gible,3,0,0,2,5
444,gabite,3,0,0,1,4
445,garchomp,5,0,0,2,7
446,munchlax,6,0,0,4,10
447,riolu,2,0,0,2,4
448,lucario,3,0,0,2,5
449,hippopotas,6,0,0,3,9
450,hippowdon,4,0,0,2,6
451,skorupi,3,0,0,1,4
452,drapion,4,0,0,3,7
453,croagunk,5,0,0,2,7
454,toxicroak,6,0,0,3,9
455,carnivine,5,0,0,3,8
456,finneon,3,0,0,2,5
457,lumineon,4,0,0,3,7
458,mantyke,4,0,0,2,6
459,snover,3,0,0,2,5
460,abomasnow,4,0,0,1,5
461,weavile,3,0,0,1,4
462,magnezone,5,0,0,3,8
463,lickilicky,4,0,0,2,6
464,rhyperior,3,0,0,2,5
465,tangrowth,4,0,0,3,7
466,electivire,5,0,0,3,8
467,magmortar,5,0,0,2,7
468,togekiss,5,0,0,3,8
469,yanmega,4,0,0,1,5
470,leafeon,3,0,0,2,5
471,glaceon,4,0,0,3,7
472,gliscor,5,0,0,3,8
473,mamoswine,5,0,0,2,7
474,porygon-z,5,0,0,3,8
475,gallade,3,0,0,2,5
476,probopass,5,0,0,2,7
477,dusknoir,6,0,0,4,10
478,froslass,5,0,0,4,9
479,rotom,3,0,0,2,5
480,uxie,2,0,0,1,3
481,mesprit,5,0,0,3,8
482,azelf,3,0,0,2,5
483,dialga,3,0,0,2,5
484,palkia,3,0,0,1,4
485,heatran,4,0,0,3,7
486,regigigas,5,0,0,4,9
487,giratina-altered,6,0,0,6,12
488,cresselia,5,0,0,3,8
489,phione,2,0,0,1,3
490,manaphy,3,0,0,1,4
491,darkrai,4,0,0,3,7
492,shaymin-land,6,0,0,5,11
493,arceus,3,0,0,3,6
494,victini,4,0,0,2,6
495,snivy,3,0,0,2,5
496,servine,3,0,0,2,5
497,serperior,3,0,0,2,5
498,tepig,3,0,0,1,4
499,pignite,4,0,0,2,6
500,emboar,3,0,0,1,4
501,oshawott,3,0,0,2,5
502,dewott,2,0,0,2,4
503,samurott,5,0,0,3,8
504,patrat,4,0,0,3,7
505,watchog,3,0,0,1,4
506,lillipup,4,0,0,2,6
507,herdier,3,0,0,2,5
508,stoutland,6,0,0,6,12
509,purrloin,3,0,0,2,5
510,liepard,3,0,0,2,5
511,pansage,4,0,0,3,7
512,simisage,4,0,0,3,7
513,pansear,3,0,0,2,5
514,simisear,3,0,0,2,5
